"","t","blue_choice_value","orange_choice_value","p_blue","p_orange","this_trial_action","this_trial_outcome"
"1",1,0.5,0.5,0.5,0.5,"orange",0
"2",2,0.5,0.170155661613285,0.581721501491511,0.418278498508489,"blue",0
"3",3,0.170155661613285,0.170155661613285,0.5,0.5,"blue",1
"4",4,0.502442679493575,0.170155661613285,0.582315739248003,0.417684260751997,"blue",1
"5",5,0.701675030198053,0.170155661613285,0.629837410797586,0.370162589202414,"blue",1
"6",6,0.821130583473783,0.170155661613285,0.657230125444863,0.342769874555137,"orange",1
"7",7,0.821130583473783,0.502442679493575,0.579004451054758,0.420995548945242,"blue",1
"8",8,0.892753636446624,0.502442679493575,0.596357553610991,0.403642446389009,"blue",1
"9",9,0.935697321997263,0.502442679493575,0.606650578615115,0.393349421384885,"blue",1
"10",10,0.961445458276393,0.502442679493575,0.612777580903159,0.387222419096841,"blue",1
"11",11,0.976883502620932,0.502442679493575,0.616434299644856,0.383565700355144,"blue",1
"12",12,0.986139831335376,0.502442679493575,0.618620522453442,0.381379477546558,"orange",0
"13",13,0.986139831335376,0.170986933103962,0.693206467346175,0.306793532653825,"orange",0
"14",14,0.986139831335376,0.0581887894590625,0.716659411484026,0.283340588515974,"blue",0
"15",15,0.335594550888169,0.0581887894590625,0.56891009737835,0.43108990262165,"blue",0
"16",16,0.114206625680379,0.0581887894590625,0.514000798040471,0.485999201959529,"orange",0
"17",17,0.114206625680379,0.0198023039377659,0.523583567961099,0.476416432038901,"orange",0
"18",18,0.114206625680379,0.00673894825599584,0.526841091338813,0.473158908661187,"blue",1
"19",19,0.468896806953415,0.00673894825599584,0.613525955196746,0.386474044803254,"orange",1
"20",20,0.468896806953415,0.40446143377936,0.516103272057849,0.483896727942151,"orange",1
"21",21,0.468896806953415,0.642927523199062,0.45660179801379,0.54339820198621,"blue",1
"22",22,0.681561626173895,0.642927523199062,0.509657324568267,0.490342675431733,"orange",1
"23",23,0.681561626173895,0.785906806173962,0.473937348041644,0.526062651958356,"orange",1
"24",24,0.681561626173895,0.871634195798893,0.452624402267551,0.547375597732449,"orange",0
"25",25,0.681561626173895,0.296626986541849,0.595062724528528,0.404937275471472,"blue",0
"26",26,0.231943138863692,0.296626986541849,0.483834673997996,0.516165326002004,"orange",1
"27",27,0.231943138863692,0.578272242511006,0.414272886021572,0.585727113978428,"blue",1
"28",28,0.539489159416943,0.578272242511006,0.49030544435003,0.50969455564997,"blue",1
"29",29,0.723887325242086,0.578272242511006,0.536339582071857,0.463660417928143,"blue",1
"30",30,0.834448611317285,0.578272242511006,0.563696127351196,0.436303872648804,"orange",0
"31",31,0.834448611317285,0.196792592034117,0.654223408534453,0.345776591465547,"orange",1
"32",32,0.834448611317285,0.518413626228563,0.578357644878142,0.421642355121858,"orange",0
"33",33,0.834448611317285,0.176422027120527,0.658816948741677,0.341183051258323,"blue",1
"34",34,0.900738847578058,0.176422027120527,0.673556901116602,0.326443098883398,"blue",0
"35",35,0.306531629100865,0.176422027120527,0.532481591343528,0.467518408656472,"blue",1
